Time (s),Channel 7,Channel 5,Channel 6,Channel 8,Channel 25,Channel 23,Channel 24,Channel 26,Channel 27,Channel 1,Channel 2,Channel 14,Channel 16,Channel 17
0.0000000000e+000,6.0342999314e+002,2.0640485093e+002,1.1084102127e+003,4.4619589170e+001,5.7242531845e+002,1.4178643766e+003,2.6917516990e+002,4.7858417257e+002,8.8794759949e+002,3.6203882248e+002,2.8155530017e+002,4.0994557858e+002,2.0977360481e+004,1.7818610233e+003
5.0000000000e-001,8.3624106904e+002,2.8693950144e+002,1.5299906489e+003,6.1796488789e+001,7.8996737010e+002,1.9655435543e+003,3.6832154776e+002,6.5823829959e+002,1.2339458281e+003,5.0693660996e+002,3.9192216207e+002,5.6487559387e+002,2.9166631911e+004,2.4851823188e+003
1.0000000000e+000,8.9668607208e+001,3.0503473067e+001,1.7214846270e+002,7.5445336536e+000,9.0210142207e+001,2.1225182316e+002,4.3292574646e+001,7.7483751801e+001,1.3509313907e+002,5.4580890715e+001,4.2787973859e+001,6.2344330686e+001,3.1402023569e+003,2.6320592495e+002
1.5000000000e+000,1.5048210387e+001,4.7109073456e+000,2.6730981587e+001,1.8668950131e+000,1.4765535415e+001,3.4387595276e+001,5.6870616280e+000,1.1706840085e+001,2.2133823132e+001,8.4714489789e+000,6.2788337553e+000,1.1710074283e+001,4.9480765783e+002,4.2383940453e+001
2.0000000000e+000,3.0539638170e+000,2.8249701212e+000,7.0458792931e+000,1.3641994108e+000,4.9722355970e+000,1.0400401325e+001,8.7024138856e+000,3.6272113850e+000,5.2864385012e+000,5.1553624121e+000,3.7680604487e+000,5.0773387520e+000,1.1555258076e+002,1.9200426580e+001
2.5000000000e+000,5.4121696865e+000,2.4611965952e+000,3.6891889809e+000,2.7467304194e+000,3.7231770162e+000,4.7491288216e+000,9.3747450787e+000,1.5669838055e+000,4.6258703160e+000,2.9459392465e+000,2.4297110677e+000,3.5273993155e+000,3.6035617775e+001,8.1575721818e+000
3.0000000000e+000,4.4583070625e+000,1.8824119074e+000,2.6008295677e+000,3.1425786144e+000,3.5574566397e+000,5.1344010699e+000,1.2894410261e+001,2.7628987655e+000,2.0646236544e+000,4.0895437339e+000,2.6651638772e+000,6.2453571438e+000,7.7175771639e+000,1.1891610321e+001
3.5000000000e+000,4.6444152940e+000,2.7808671432e+000,4.7333398069e+000,2.7668020702e+000,4.6292728615e+000,2.5841776918e+000,1.2053529335e+001,3.5328930045e+000,2.6139750231e+000,5.3070420354e+000,4.3461021088e+000,3.1937651800e+000,2.3064180470e+000,4.2842627150e+000
4.0000000000e+000,4.5173309118e+000,3.5381364543e+000,3.1236284604e+000,2.2906821745e+000,4.1645433792e+000,6.5956753105e+000,5.9450465819e+000,3.6757600972e+000,3.5043107171e+000,4.7967440597e+000,3.4563841917e+000,3.9977514619e+000,6.9338521468e-001,1.0349269105e+001
4.5000000000e+000,4.0911410489e+000,2.2875819736e+000,2.3937499833e+000,1.9621874351e+000,6.6548008015e+000,5.0558651520e+000,3.2820010735e+000,5.2252793351e+000,9.3216439029e+000,4.3205751130e+000,3.1644359819e+000,2.5120177778e+000,3.4927501053e-001,8.9174894794e+000
5.0000000000e+000,3.1632898401e+000,1.6613274575e+000,1.5816316434e+000,2.2958403862e+000,3.4084768265e+000,5.9815631209e+000,5.2443850674e+000,4.9713877933e+000,3.9846468511e+000,2.1728020701e+000,1.2617973619e+000,4.2979980957e+000,2.0259091828e-001,9.1766207951e+000
5.5000000000e+000,5.2519351166e+000,1.6210049726e+000,3.1854366236e+000,2.9061851506e+000,3.7475618793e+000,6.6993310624e+000,5.4389483581e+000,2.7932588657e+000,6.5002609414e+000,1.8217231769e+000,1.3110964752e+000,2.5722746373e+000,1.8072180330e-001,7.3734058698e+000
6.0000000000e+000,3.5170208865e+000,1.4621951751e+000,3.4442810866e+000,2.5831626984e+000,7.8114578842e+000,3.1902403995e+000,1.0306917852e+001,5.5943072282e+000,5.7281990058e+000,4.2561499641e+000,2.5782274442e+000,2.8270796538e+000,1.2852294153e-001,6.2532213594e+000
6.5000000000e+000,2.9328729081e+000,2.0521036383e+000,2.5282753411e+000,2.0771762834e+000,4.5769367888e+000,6.3698532962e+000,8.7329743736e+000,2.2699628028e+000,4.5423488600e+000,2.9753900580e+000,3.3142638051e+000,1.6863443809e+000,2.3329886571e-001,7.7799163197e+000
7.0000000000e+000,4.9431486971e+000,5.5945332869e+000,2.9728262035e+000,1.0332927467e+000,5.6015817159e+000,6.0397321384e+000,7.5544065835e+000,1.8982409874e+000,2.9681918266e+000,1.8034748238e+001,7.6651735670e+000,2.0882648812e+000,2.9380596596e-001,8.5404056001e+000
7.5000000000e+000,3.3155717248e+000,3.3612764586e+000,2.5971050681e+000,1.9164095589e+000,4.9118140554e+000,5.4324232476e+000,6.5311565915e+000,1.2946081728e+000,2.6356903523e+000,9.1244947592e+000,4.1662381248e+000,2.6762179406e+000,3.1043418045e-001,1.4947612355e+001
8.0000000000e+000,2.7719641649e+000,4.0591085454e+000,3.9164467441e+000,1.0770264738e+000,2.3146015184e+000,6.2611488592e+000,2.9982683385e+000,1.7954767326e+000,4.2220338585e+000,1.8915390793e+001,5.2505803617e+000,3.2273565407e+000,3.6062979738e-001,8.6583302927e+000
8.5000000000e+000,1.7491530860e+000,2.3767248574e+000,2.0184067914e+000,1.2605909925e+000,2.4445492975e+000,4.4263149371e+000,5.4083210385e+000,1.5830138652e+000,3.7442294809e+000,5.7315549900e+000,2.9214390860e+000,2.0940591014e+000,2.3123648084e-001,1.0571095024e+001
9.0000000000e+000,3.5302593420e+000,2.0095185952e+000,1.6348860988e+000,7.4114261152e-001,2.7380327205e+000,4.4970834584e+000,5.5555694472e+000,1.4817190059e+000,6.4339292740e+000,4.8136926994e+000,4.8870961975e+000,5.6136058579e+000,3.0235520644e-001,7.4980510014e+000
9.5000000000e+000,2.0100372893e+000,2.0060368488e+000,1.7675219276e+000,1.4708046318e+000,1.6854680963e+000,8.4935596140e+000,4.2773574497e+000,2.5568850726e+000,4.1522191963e+000,2.9793363986e+000,2.6641078536e+000,3.8800375309e+000,8.9939638441e-002,1.0912778457e+001
1.0000000000e+001,3.4301492681e+000,1.9121761884e+000,1.8055016445e+000,1.2826272270e+000,3.4700448269e+000,5.8699160884e+000,7.1726618654e+000,2.5225546029e+000,2.8130097930e+000,2.8822027838e+000,2.9077391971e+000,2.4946398866e+000,1.9860919750e-001,9.1923219770e+000
1.0500000000e+001,3.3970781068e+000,1.3160447895e+000,2.9503099989e+000,2.2195097133e+000,2.9857328099e+000,7.1022463048e+000,7.7826280101e+000,3.0054050850e+000,2.8778258632e+000,3.9165281492e+000,3.0640158174e+000,3.9330303929e+000,9.6806776378e-002,1.1661837682e+001
1.1000000000e+001,4.3625987300e+000,1.6307349256e+000,3.6291021975e+000,1.5234848285e+000,5.2665849206e+000,9.5153640136e+000,7.6948504252e+000,3.2875077474e+000,8.2775758813e+000,4.7299009005e+000,5.5542634395e+000,2.4519838120e+000,1.2868862597e-001,4.7532213601e+000
1.1500000000e+001,6.1898819750e+000,1.5228800521e+000,4.2948503422e+000,2.0209955954e+000,7.7150392406e+000,6.7908993074e+000,1.0990550269e+001,2.8879674472e+000,6.6006267181e+000,3.3336922418e+000,2.4626756752e+000,2.5155733700e+000,3.0466866862e-001,5.9804081047e+000
1.2000000000e+001,5.4729511393e+000,1.2750529494e+000,3.6019267803e+000,1.8402761360e+000,4.4831026422e+000,1.0239776715e+001,5.5052754313e+000,1.9029361043e+000,1.1045692094e+001,4.4291142801e+000,4.3748114079e+000,2.5909804635e+000,1.8238660393e-001,4.3818725410e+000
1.2500000000e+001,2.0406763773e+000,4.1043593477e+000,3.5212201853e+000,1.1578569051e+000,7.7447257675e+000,6.9300768277e+000,3.9742774241e+000,1.3251116732e+000,9.2932591526e+000,1.2417727709e+001,6.1707234647e+000,2.9354190374e+000,4.6814363162e+004,2.7742524397e+001
1.3000000000e+001,6.6170469021e+000,3.7970603605e+000,8.3304680713e+000,2.8236878070e+000,1.1919030943e+001,6.7427278179e+000,1.1146064897e+001,4.1187515308e+000,9.6239597722e+000,2.5261779530e+001,2.0131600036e+001,7.4207667503e+000,2.9577432371e+004,2.3990640271e+001
1.3500000000e+001,9.9614622750e+000,4.6449994887e+000,3.8104379050e+000,1.9844364967e+000,7.4493033023e+000,4.7313498015e+000,1.5174473575e+001,3.9425653919e+000,1.0381690555e+001,1.8458846139e+001,1.3807995083e+001,6.8128027152e+000,3.8720001594e+004,2.7175380742e+001
1.4000000000e+001,4.5214513519e+000,2.1800032347e+000,6.4954402705e+000,1.8780020510e+000,7.0961728161e+000,6.9899299670e+000,1.8232811295e+001,2.6483822048e+000,7.2264131281e+000,1.5675528459e+001,1.2834538424e+001,7.1020699780e+000,1.8595313090e+004,1.9104485541e+001
1.4500000000e+001,5.0580957630e+000,2.0467416092e+000,2.6348177766e+000,1.8648534049e+000,8.8594605928e+000,7.0016263489e+000,1.0684911784e+001,4.5814305131e+000,6.8138989621e+000,2.7382736298e+000,3.6390227483e+000,4.1207344289e+000,9.5157582666e+003,1.3091887890e+001
1.5000000000e+001,6.2639554719e+000,2.7255178858e+000,3.4403372892e+000,2.4008056932e+000,5.4530522679e+000,9.5976647300e+000,7.0711361002e+000,2.5337951369e+000,6.3613915350e+000,4.4010526329e+000,3.0722830751e+000,3.9175313690e+000,7.1941123090e+003,4.8422118444e+000
1.5500000000e+001,6.6734580693e+000,1.7818686484e+000,3.4768350933e+000,1.3854482443e+000,6.3915829695e+000,1.0203509294e+001,7.3852967427e+000,2.8298063773e+000,7.3553324384e+000,4.3611766416e+000,2.2692851111e+000,6.0642394904e+000,7.0752272408e+003,1.4245563043e+001
1.6000000000e+001,5.2879980525e+000,1.6216495932e+000,2.5641929315e+000,2.0664323863e+000,4.5847424824e+000,1.2518496349e+001,8.5879592768e+000,3.1917891481e+000,7.0588958749e+000,2.0120546053e+000,1.6746919251e+000,4.7241727154e+000,1.6231297014e+003,1.2856137337e+001
1.6500000000e+001,3.8950305065e+000,2.8253549010e+000,2.4575353743e+000,2.9849631033e+000,5.4366122941e+000,6.4651132686e+000,9.0704426843e+000,1.4255811944e+000,5.0689080076e+000,3.5828059193e+000,2.0997672982e+000,5.6898012021e+000,3.2842342142e+002,1.2302799329e+001
1.7000000000e+001,3.4747116759e+000,3.2127191899e+000,2.3647510882e+000,2.3774696472e+000,4.8719269784e+000,5.3512445083e+000,8.7439208917e+000,1.9943406075e+000,4.3910597902e+000,4.7604206934e+000,4.6613292206e+000,3.9284434786e+000,1.2011673674e+002,7.7467882536e+000
1.7500000000e+001,4.1692676487e+000,2.6460260128e+000,3.3350831562e+000,2.6891868503e+000,3.6747695576e+000,7.8536793519e+000,6.6773741978e+000,2.2301521150e+000,4.1818276924e+000,4.2232025363e+000,3.7060585672e+000,2.3519877358e+000,2.2358769119e+001,5.8141370272e+000
1.8000000000e+001,4.6361753232e+000,1.4799156755e+000,1.1194803168e+000,1.3599233868e+000,4.1503057818e+000,9.0486614456e+000,1.1751666036e+001,1.8271937691e+000,6.7433726993e+000,3.8430601427e+000,2.0551709777e+000,3.4859793206e+000,3.6106934933e+000,7.2805032226e+000
1.8500000000e+001,6.4134448255e+000,1.2980421842e+000,2.2051760365e+000,1.2917145120e+000,4.5286882191e+000,4.9659250342e+000,7.2426823723e+000,3.3699383214e+000,3.4355900402e+000,4.6239929537e+000,2.5741697672e+000,2.5929494384e+000,8.8453085677e-001,7.7835567653e+000
1.9000000000e+001,1.0647467983e+001,1.1902328768e+000,4.0191342122e+000,2.0033746878e+000,9.3496311107e+000,7.2653676165e+000,2.1763526043e+001,1.4805477877e+000,3.6456973305e+000,4.3675672309e+000,3.0119245105e+000,3.4456101250e+000,1.9139916398e-001,5.5468481286e+000
1.9500000000e+001,5.9367737679e+000,2.1215352829e+000,2.7356156810e+000,1.5248078122e+000,6.9939740237e+000,6.6841649517e+000,9.0675619723e+000,1.5259260569e+000,4.3089857586e+000,3.2022755146e+000,2.2691678443e+000,2.3633413125e+000,2.8288983200e-001,3.5565338186e+000
2.0000000000e+001,5.4448851138e+000,1.5378847984e+000,3.0646362627e+000,1.2513191759e+000,9.7222875890e+000,4.1984015761e+000,1.2097176518e+001,1.6527232898e+000,6.8526196895e+000,4.4435673043e+000,3.2061624252e+000,2.3637665118e+000,1.8091908365e-001,5.7576515946e+000
2.0500000000e+001,7.2746525049e+000,1.6916948280e+000,2.3909697129e+000,1.0255009169e+000,2.6523892688e+000,7.1339809816e+000,7.1750258410e+000,1.8341967447e+000,4.2260868779e+000,3.5097851009e+000,3.3525125112e+000,2.6658556540e+000,2.4370735386e-001,7.8115587006e+000
2.1000000000e+001,4.0426383001e+000,1.2855512733e+000,1.5454000601e+000,6.1947801763e-001,1.7938279470e+000,6.0473057882e+000,4.4665263460e+000,1.1355708646e+000,7.5593406306e+000,4.5010402654e+000,3.2273856275e+000,2.6665523935e+000,1.6940423223e-001,7.4414806595e+000
2.1500000000e+001,4.0868792506e+000,1.9645849888e+000,3.0717047397e+000,7.0555006005e-001,3.3898387646e+000,8.5681291105e+000,7.4966936054e+000,2.0685596942e+000,3.7913278526e+000,4.5106088214e+000,2.0701020779e+000,4.3814258485e+000,6.9687565197e+003,5.5470786594e+000
2.2000000000e+001,3.9334209687e+000,1.6015917041e+000,2.3399540815e+000,1.0677476832e+000,2.5049559325e+000,8.5689505944e+000,6.5470782114e+000,1.5607141074e+000,5.2747580803e+000,3.5960710983e+000,2.7238579481e+000,3.5396421714e+000,5.5956737355e+003,9.0402493079e+000
2.2500000000e+001,3.3654847857e+000,2.2138471295e+000,2.5452182242e+000,1.3125620680e+000,5.6898772716e+000,7.2733699185e+000,6.1042053612e+000,1.1961601738e+000,3.5057473701e+000,7.8781427370e+000,3.7649911679e+000,4.5345147496e+000,1.0311823335e+004,1.1011288242e+001
2.3000000000e+001,3.2436561273e+000,1.2898724949e+000,2.0406729197e+000,9.8705709916e-001,5.7470542547e+000,5.8027290874e+000,8.6625940861e+000,2.8653076466e+000,4.1609945953e+000,4.9795358964e+000,2.9573502990e+000,4.4239506932e+000,3.0622563437e+003,1.0994402155e+001
2.3500000000e+001,1.1342452195e+001,9.8823548164e-001,2.5936745787e+000,1.6836947111e+000,3.7205860481e+000,9.7837366842e+000,9.7698047952e+000,2.4506157954e+000,5.7845499544e+000,2.1422959236e+000,1.4993753228e+000,3.0703444511e+000,2.0052816398e+003,1.2370037856e+001
2.4000000000e+001,6.0421152506e+000,1.5719834274e+000,2.5325223651e+000,1.2592978764e+000,5.0386846676e+000,5.7369338037e+000,4.2054125961e+000,3.2905815969e+000,6.9284739331e+000,1.8503675234e+000,1.8066570299e+000,2.5095164968e+000,2.1689616723e+002,5.1409386512e+000
2.4500000000e+001,1.1693256361e+001,2.0065777869e+000,3.0476140402e+000,2.0473236537e+000,1.9001105014e+000,7.8265034425e+000,8.2965950270e+000,1.0636610728e+000,6.7803102529e+000,3.3843188846e+000,1.6995135094e+000,3.9484403972e+000,4.9408420995e+001,9.4890066121e+000
2.5000000000e+001,4.2865543701e+000,1.5353057481e+000,2.0913771028e+000,6.7405781417e-001,2.5823352087e+000,6.7652196972e+000,3.6255998174e+000,1.8991742187e+000,6.7358925381e+000,1.2214152481e+000,2.5760210344e+000,3.3028455904e+000,7.6783650205e+000,4.4195168963e+000
2.5500000000e+001,4.3059851553e+000,2.2265014521e+000,1.4890929456e+000,1.2860167948e+000,2.5023898926e+000,3.9609727089e+000,6.5837535083e+000,2.5144842704e+000,6.5143632255e+000,2.9335094004e+000,2.7460622555e+000,3.9363677196e+000,2.2713431393e+000,2.3661937165e+000
2.6000000000e+001,5.3725094670e+000,1.4289033698e+000,2.1970503863e+000,1.7053111400e+000,5.5464010851e+000,7.3879581340e+000,6.7366284597e+000,2.6813701440e+000,6.9848383658e+000,1.5845908803e+000,2.6446187465e+000,2.2677331640e+000,7.7259264006e-001,4.4973118924e+000
2.6500000000e+001,5.3916904026e+000,1.2688539809e+000,2.6855452054e+000,1.7990166456e+000,3.4379921390e+000,1.0368035104e+001,1.0726384179e+001,1.5683813949e+000,9.6444763108e+000,2.8986972060e+000,1.8705765148e+000,2.8359910259e+000,1.7666589131e-001,6.0307505538e+000
2.7000000000e+001,4.7191760953e+000,1.5414834673e+000,3.5387147964e+000,1.3675767216e+000,5.5780570118e+000,8.7924841278e+000,7.3216183120e+000,1.6641307852e+000,4.4927360074e+000,2.7474737414e+000,2.4271565326e+000,8.9467544838e-001,1.7606337398e-001,5.2498359341e+000
2.7500000000e+001,5.2617626915e+000,1.5314514088e+000,2.9815785447e+000,1.4265757422e+000,3.0643763848e+000,7.7620061259e+000,8.6658831015e+000,1.5180279469e+000,6.9263210010e+000,2.9447709033e+000,2.3845273842e+000,1.1281155032e+000,9.2253892699e-002,3.7798977732e+000
2.8000000000e+001,5.7208035379e+000,2.0389290188e+000,1.9225817046e+000,1.5042072303e+000,3.0310303611e+000,3.9188589576e+000,4.9038933991e+000,2.7506839149e+000,4.5142500823e+000,2.4776728969e+000,3.6471475833e+000,1.5204614664e+000,1.9124200045e-001,6.6330242468e+000
2.8500000000e+001,4.6423147925e+000,1.8325802385e+000,1.9291351272e+000,7.7250599052e-001,5.0110881937e+000,6.1511948644e+000,5.1584275751e+000,2.2107080106e+000,9.1604744654e+000,4.4633958673e+000,2.9899502769e+000,1.2274234651e+000,2.8512249888e-001,7.9436555206e+000
2.9000000000e+001,6.6949527432e+000,1.0553997821e+000,2.5645719851e+000,1.9932430888e+000,4.4647787290e+000,3.4477961728e+000,5.5912464163e+000,3.1636342746e+000,4.5452144319e+000,2.7408145750e+000,2.0092523831e+000,2.9321917883e+000,2.8652101203e-001,8.3618783774e+000
2.9500000000e+001,5.5796470685e+000,3.3635183217e+000,1.7987461837e+000,8.3424641731e-001,3.0020051226e+000,6.7951052059e+000,6.2954891891e+000,2.7121314018e+000,6.6988025476e+000,4.9229535597e+000,4.8487692304e+000,2.0968592433e+000,2.6875030061e-001,6.9690375788e+000
3.0000000000e+001,8.0818992941e+000,1.3793005011e+000,3.7345396258e+000,2.0082443914e+000,4.2166531484e+000,3.7394383045e+000,8.2124491409e+000,3.0277232193e+000,2.9195061578e+000,2.0784900694e+000,2.7696741644e+000,3.0387166120e+000,8.8594564522e+000,4.2964392933e+000
3.0500000000e+001,6.1146863236e+000,1.7174213248e+000,5.3198257155e+000,2.0461186930e+000,3.2850514937e+000,6.3849503841e+000,6.3206062336e+000,1.5293224506e+000,6.3728549356e+000,2.7933558793e+000,3.2137770827e+000,2.8073485053e+000,3.7119537083e+003,5.9997056084e+000
3.1000000000e+001,8.6877548979e+000,1.5606706578e+000,4.8336342820e+000,2.3737380002e+000,2.2944474375e+000,7.5096966474e+000,4.1990869597e+000,2.7052054656e+000,3.4006980184e+000,2.9278157659e+000,2.5790756912e+000,3.8752190365e+000,7.0226772987e+003,5.2886298191e+000
3.1500000000e+001,6.9880063081e+000,2.4126996830e+000,3.4847625600e+000,2.0405570004e+000,4.0695625665e+000,8.2739611371e+000,4.3613892431e+000,1.6844903883e+000,8.4328971537e+000,7.5740579207e+000,3.9482031214e+000,2.7616616537e+000,8.9139822466e+003,6.3670648941e+000
3.2000000000e+001,5.3383777554e+000,3.0992982392e+000,5.4661516557e+000,3.4607016937e+000,4.0693251131e+000,1.1112017083e+001,8.7448594877e+000,3.3710523798e+000,3.2385896822e+000,8.8812474924e+000,6.2442714200e+000,6.0292693085e+000,5.9951435780e+003,3.7092958564e+000
3.2500000000e+001,5.1335317037e+000,2.6680056053e+000,3.0403897032e+000,3.8362377493e+000,3.7173694051e+000,8.8587146699e+000,5.3543765106e+000,2.2061928938e+000,1.7879182873e+000,7.9665608537e+000,2.9421168214e+000,9.2785445734e+000,4.0863235288e+003,8.6448044906e+000
3.3000000000e+001,4.8337100356e+000,1.6033856722e+000,1.7402870042e+000,1.3854339093e+000,2.0578184773e+000,8.4158350052e+000,6.7213072204e+000,2.0017109190e+000,3.8635104242e+000,2.5133972934e+000,1.5830781437e+000,7.2295460874e+000,2.8260825077e+002,6.9674724612e+000
3.3500000000e+001,4.3455458513e+000,2.4790658490e+000,3.5353493293e+000,3.4337669529e+000,3.5556596885e+000,8.1183206505e+000,7.4514220952e+000,1.6461921005e+000,5.7698719347e+000,3.4705680749e+000,2.7791262707e+000,9.5228163441e+000,5.7078508710e+001,7.9840680660e+000
3.4000000000e+001,6.2112246532e+000,4.0144475543e+000,3.6320474237e+000,3.2870350598e+000,3.8107639545e+000,4.9402118836e+000,8.6050156648e+000,1.8083158121e+000,6.2513920099e+000,5.4289609402e+000,4.3906209107e+000,3.8103953049e+000,2.3339250144e+001,5.6526381348e+000
3.4500000000e+001,3.6799467182e+000,2.5959585475e+000,2.5610873833e+000,2.1788332815e+000,5.6656091336e+000,6.9107004318e+000,6.9425930883e+000,2.3882196230e+000,4.0923723494e+000,2.9292737573e+000,2.1248929591e+000,3.2803261915e+000,6.3167259917e+000,9.2518424916e+000
3.5000000000e+001,7.4434946930e+000,2.6804621448e+000,1.6107794651e+000,2.3129816437e+000,2.5360612032e+000,4.3758744281e+000,6.9872916430e+000,1.3721938771e+000,2.7340383907e+000,3.8799519381e+000,2.5424850630e+000,4.3161125843e+000,1.1536440459e+000,5.9960931013e+000
3.5500000000e+001,5.6117221158e+000,4.8448185241e+000,2.1037563798e+000,1.5115062495e+000,5.5148450715e+000,3.9265803170e+000,6.0620593262e+000,3.7314660516e+000,4.0786655022e+000,4.9052150398e+000,3.9625291844e+000,2.9284652644e+000,3.5866284249e-001,7.7611705177e+000
3.6000000000e+001,5.2947040687e+000,2.7784585347e+000,2.0702879506e+000,1.1740045983e+000,7.7040485465e+000,3.7406647636e+000,5.0814844991e+000,4.3541996586e+000,3.1210215511e+000,5.6355124114e+000,4.6046140790e+000,3.3265678241e+000,1.9125254751e-001,7.2958309926e+000
3.6500000000e+001,5.9797961602e+000,3.4650380126e+000,2.4944468513e+000,3.0784546634e+000,5.6947303516e+000,6.9158754233e+000,7.3593189657e+000,4.1372740447e+000,4.8110648789e+000,6.9208862753e+000,4.4198515039e+000,2.6229880608e+000,2.1441943024e-001,9.9028479663e+000
